"Timestamp";"FESTIVAL NAME";"FESTIVAL START DATE";"How many days?";"Location - City";"Website ";"Music Genre";"Festival setting";"Facebook Fanpage URL";"Twitter accountname";"Administrative contact name";"Administrative contact e-mail";"Twitter HashTag #";"Picassa photo album";"Flicker photo album";"Youtube video channel";"Administrative contact telephone"
"5/4/2012 16:37:41";"ManiFiesta";"21/09/2012";2;"Bredene";"http://manifiesta.be/nl";"Alle stijlen";"Field / Meadow";"https://www.facebook.com/manifiesta.be";"manifiesta";"Hendrik Vermeersch";"info@manifiesta.be";"#manifiesta";;;;"0487 76 83 87"
"5/4/2012 17:00:53";"Festival van Vlaanderen Brussel";"31/08/2012";5;"Brussel";"http://www.klarafestival.be";"Classical";"Concert halls";"KlaraFestival";;"Sophie Detremmerie";"sophie@festival.be";"#klarafest";;"www.flickr.com/photos/klarafestival";"www.youtube.com/klarafestival";"0475 960 424"
"5/4/2012 17:11:32";"Bruksellive";"28/07/1012";1;"Brussel";"http://www.bruksellive.be";"Elektronische muziek";"Park";"http://www.facebook.com/bruksellive";"@bruksellive";"Roeland Grolus";"roeland@bruksellive.be";"#bruksellive";;;"nog niet klaar";"0494/84.20.86"
"5/4/2012 17:32:51";"Slorarock";"19/05/2012";1;"Merksem";"http://www.slorarock.be";"Rock";"City / Town";"www.facebook.com/slorarock";;"Joris Spruyt";"joris@slorarock.be";;;;;494590586
"5/4/2012 18:00:49";"HESTIVAL";"25/08/2012";1;"Heist-op-den-Berg";"www.hestival.be";"Pop";"City / Town";"http://www.facebook.com/#!/Hestival";"http://twitter.com/#!/hestival_heist";"Kristof Van haegenberg";"kristof.van.haegenberg@zwaneberg.be";"#hestival";;;"http://www.youtube.com/hestivalheist";"0032 15 25 07 70"
"5/4/2012 19:03:25";"pOpwijk";"1/9/2012";1;"Opwijk";"http://www.popwijk.be";"Pop";"City / Town";"https://www.facebook.com/#!/popwijk";;"Tom Costers";"info@popwijk.be";;;;"http://www.youtube.com/results?search_query=pOpwijk&oq=pOpwijk&aq=f&aqi=&aql=&gs_l=youtube.3...172.1585.0.2054.7.7.0.0.0.0.87.484.7.7.0...0.0.";"0476/405342"
"5/5/2012 11:02:55";"Lokerse Feesten";"3/8/2012";10;"Lokeren";"www.lokersefeesten.be";"Rock";"City / Town";;"http://twitter.com/#!/lokersefeesten";"Jan Cools";"voorzitter@lokersefeesten.be";;;;;"0497-24 90 03"
"5/5/2012 11:08:53";"Kokopelli Festival";"18/05/2012";3;"Gullegem";"http://www.kokopelli.be";"World";"Field / Meadow";"https://www.facebook.com/kokopelli.01";;"Jelle Stragier";"jellestragier@hotmail.com";"#koko12";;;;498395674
"5/5/2012 14:18:18";"Linkerwoofer";"10/8/2012";2;"Antwerp";"http://www.linkerwoofer.be";"Alternative Pop & Rock";"City / Town";"http://www.facebook.com/linkerwoofer";;"Stijn Doggen";"info@linkerwoofer.be";"#linkerwoofer";;;;
"5/5/2012 14:29:27";"Reggae Geel";"3/8/2012";2;"Geel";"http://www.reggaegeel.com";"Reggae";"Field / Meadow";"http://www.facebook.com/pages/Reggae-Geel/124129377611780";"https://twitter.com/#!/ReggaeGeel";"Kris Eelen";"info@reggaegeel.com";"#ReggaeGeel";;;;"014 85 37 03"
"5/7/2012 9:06:27";"Hasselt Ziiingt";"11/7/2012";1;"Hasselt";"www.hasseltziiingt.be";"Pop";"City / Town";;;"An Kempeneers";"an@conrad-consulting.be";;;;;"+32 11 850 410"
"5/7/2012 10:06:06";"Novarock";"17/03/2012";1;"Kortrijk";"www.novarock.be";"Dance";"Kortrijk XPO";"http://www.facebook.com/NovarockBE";"Novarock2012";"Francis Benoit";"info@novarock.be";"#novarock2012";;;;
"5/7/2012 10:39:08";"Maanrock";"25/08/2012";2;"Mechelen";"http://www.maanrock.be";"Rock";"City / Town";"http://www.facebook.com/groups/63897693648/";;"Yves van Dun";"yves.vandun@mechelen.be";;;;;"015 29 78 72"
"5/7/2012 10:47:51";"Laus Polyphoniae 2012 | MARE ADRIATICO";"24/08/2012";10;"Antwerpen";"www.amuz.be";"Classical";"City / Town";"https://www.facebook.com/pages/AMUZ-Augustinus-Muziekcentrum/188044988782";"AMUZantwerpen";"AMUZ [Festival van Vlaanderen-Antwerpen]";"tickets@amuz.be";"amuz";;;;"+32 (0)3 292 36 80"
"5/7/2012 10:49:32";"Festival Couleur Café ";"29/06/2012";3;"Brussels";"http://www.couleurcafe.be";"World";"City / Town";"http://www.facebook.com/pages/Couleur-Caf%C3%A9-official/38614443445";"http://www.facebook.com/pages/Couleur-Caf%C3%A9-official/38614443445";"Marijke Dubois";"m.dubois@couleurcafe.org";"#Couleurcafe";;;"http://www.youtube.com/festivalcouleurcafe";"02 672 49 12"
"5/7/2012 12:01:13";"Nachten Van De Jukte";"26/07/2013";3;"Geluwe";"www.nachtenvandejukte.be";"Pop";"Field / Meadow";"https://www.facebook.com/pages/Nachten-van-de-Jukte/21608055821";"Nachten Van De Jukte";"Bart Salembier";"bart.salembier@jukte.be";"#NVDJ";;;;476381411
"5/7/2012 12:04:51";"Casa Blanca Festival";"1/8/2012";4;"Abdij Hemiksem";"http://www.casablancafestival.be/";"Pop";"Field / Meadow";"http://www.facebook.com/Casablancafestival";"casablancafest ";"Maarten Mennes";"maarten@casablancafestival.be";"#casab12";;;;"0486 34 92 80"
"5/7/2012 12:27:49";"Summerfestival";"30/06/2012";1;"Antwerp";"http://www.summerfestival.be";"Dance";"a combination of everything above";"http://www.facebook.com/summerfestival";"summerfstvl";"Ilse Rabau";"ilse@summerfestival.be";"#sf12";;;"http://www.youtube.com/summerfstvl";32474616436
"5/7/2012 12:30:14";"Laundry Day";"1/9/2012";1;"Antwerp";"http://www.laundryday.be";"Dance";"a combination of the above";"http://www.facebook.com/laundryday";"laundrydayevent";"Ilse Rabau";"ilse@laundryday.be";"#ld12";;;"http://www.youtube.com/laundryluc";32474616436
"5/7/2012 13:15:53";"Night of the Proms";"8/11/2012";5;"Sportpaleis - Antwerpen";"http://www.notp.com/belgie";"Classical";"Venue";"http://www.facebook.com/nightoftheproms";"http://www.twitter.com/nightoftheproms";"PSE Belgium nv";"info@notp.com";"#notp2012";;"http://www.flickr.com/nightoftheproms";"http://www.youtube.com/notpchannel";"03 400 60 00"
"5/7/2012 15:52:08";"Tomorrowland";"27/07/2012";3;"BOOM";"http://www.tomorrowland.be";"Dance";"recreation park";"http://www.facebook.com/events/239187446124390/";"tomorrowlandBE";"Debby Wilmsen";"debby@id-t.be";"TML12";;"http://www.flickr.com/photos/73607519@N05/ ";"http://www.youtube.com/user/TomorrowlandChannel";498522579
"5/7/2012 16:01:25";"Na Fir Bolg";"29/06/2012";3;"Vorselaar";"http://www.nafirbolg.be";"Folk";"Field / Meadow";"http://www.facebook.com/pages/Na-Fir-Bolg/249741515108073";;"Filip Van den Broeck";"filip2242@gmail.com";;;;;"0495 16 01 15"
"5/7/2012 20:32:29";"Boerenrock";"24/08/2012";3;"Kortenaken";"www.boerenrock.be";"Rock";"Field / Meadow";"http://www.facebook.com/boerenrock";"boerenrockvzw";"Hugo Verheyen";"hugo@boerenrock.be";;;;;474694409
"5/7/2012 20:38:23";"Rock Herk";"13/07/2012";2;"Herk-de-Stad";"http://www.rockherk.be";"Dance";"Park";"http://www.facebook.com/rockherk";"twitter.com/rockherk";"Maarten Ruelens";"maarten@rockherk.be";"#rockherk";;"http://www.flickr.com/photos/rockherk/";"http://www.youtube.com/ROCKHERKofficial";32498281624
"5/8/2012 10:13:49";"Gent Jazz Festival";"05/027/2012";10;"Gent";"http://www.gentjazz.com";"Jazz";"Binnentuin";"http://www.facebook.com/gentjazz";"@gentjazz";"Info - Gent Jazz Festival";"info@gentjazz.com";"#GJF12";;;"http://www.youtube.com/user/gentjazz";93244530
"5/8/2012 11:56:13";"Openluchttheater Rivierenhof";"18/06/2012";14;"Antwerp";"http://www.openluchttheater.be";"Pop";"Park";"http://www.facebook.com/profile.php?id=609691709#!/OpenluchttheaterRivierenhof";"https://twitter.com/#!/Arenberg_OLT";"Sylvie Svanberg";"sylvie@openluchttheater.be";"#Arenberg_OLT";;;"http://www.youtube.com/ArenbergOLT";32476412562
"5/8/2012 13:12:26";"Patersdreef festival";"6/7/2012";2;"Tielt";"http://www.patersdreef.be";"Blues";"City / Town";;;"Franky Craeymeersch";"info@patersdreef.be";;;;;"0479/74 31 82"
"5/8/2012 13:56:56";"Feest in het Park";"23/08/2012";4;"Oudenaarde";"www.feestinhetpark.be";"Pop";"Beach / Waterfront";"https://www.facebook.com/pages/Feest-in-het-Park/110969675645047";"https://twitter.com/#!/FeestinhetPark";"michiel desmet";"michiel@feestinhetpark.be";"#feestinhetpark #fihp12";;;;"0032 485 59 15 17"
"5/8/2012 15:17:16";"Helden in het Park - dag 1";"26/07/2012";1;"Eeklo";"http://www.n9.be/index.php/nl/page/agenda/233";"World";"Woods / Forest";"https://www.facebook.com/heldeninhetpark";"@muziekclubN9";"muziekclub N9";"info@n9.be";"#HIHP12";;;"http://www.youtube.com/user/muziekclubN9";3293779394
"5/8/2012 15:19:10";"Helden in het Park - dag 2";"2/8/2012";1;"Eeklo";"http://www.n9.be/index.php/nl/page/agenda/234";"World";"Woods / Forest";"https://www.facebook.com/heldeninhetpark";"@muziekclubN9";"muziekclub N9";"info@n9.be";"#HIHP12";;;"http://www.youtube.com/user/muziekclubN9";3293779394
"5/8/2012 15:20:24";"Helden in het Park - dag 3";"9/8/2012";1;"Eeklo";"http://www.n9.be/index.php/nl/page/agenda/235";"World";"Woods / Forest";"https://www.facebook.com/heldeninhetpark";"@muziekclubN9";"muziekclub N9";"info@n9.be";"#HIHP12";;;"http://www.youtube.com/user/muziekclubN9";3293779394
"5/8/2012 15:21:38";"Helden in het Park - dag 4";"16/08/2012";1;"Eeklo";"http://www.n9.be/index.php/nl/page/agenda/236";"World";"Woods / Forest";"https://www.facebook.com/heldeninhetpark";"@muziekclubN9";"muziekclub N9";"info@n9.be";"#HIHP12";;;"http://www.youtube.com/user/muziekclubN9";3293779394
"5/8/2012 15:26:41";"Herbakkersfestival";"10/8/2012";3;"Eeklo";"www.herbakkersfestival.be";"Rock";"City / Town";"https://www.facebook.com/herbakkersfestival";"@hrbkkrsfestival";"Herbakkersfestival";"info@herbakkersfestival.be";"#hbf2012";;;;3293779394
"5/8/2012 21:06:46";"Mano Mundo";"12/5/2012";2;"Boom";"www.manomundo.be";"World";"Field / Meadow";"mano mundo";"manomundo";"Johan Mast";"johan.mast@admin.provant.be";"#manomundo";;;;32405648
;;;;;;;;;;;;;;;;
"5/10/2012 7:49:59";"Rock Ternat";"5/10/2012";2;"Ternat";"http://www.rockternat.be";"Rock";"Field / Meadow";"http://www.facebook.com/rockternat";"http://www.twitter.com/rockternat";"Amaury Van de Zande";"amaury@rockternat.be";;;;"http://www.youtube.com/rockternat";477413817
"5/10/2012 12:50:07";"Afro-Latino Festival";"22/06/2012";3;"Bree";"http://www.afro-latino.be";"World";"Field / Meadow";"facebook.com/afrolatinofestival";"Afro-Latino Festival";"Kristof Henseler";"kristof.henseler@afro-latino.be";"#AfroLatinoBree";;;"youtube.com/user/afrolatinofestival";"+32 486 988 926"
"5/10/2012 13:18:52";"Reggae Geel";"3/8/2012";2;"Geel";"http://www.reggaegeel.com";"Reggae, Dub, Ska, Dance Hall";"mostly fields and a small forest";"https://www.facebook.com/reggae.geel";"ReggaeGeel";"Raf Peeters";"info@reggaegeel.com";"#reggaegeel";;"http://www.flickr.com/photos/reggaegeel/sets/";"http://www.youtube.com/user/ReggaeGeel";14583703
"5/10/2012 15:26:56";"Wild in't Park";"4/5/2012";2;"Herent";"http://www.wildintpark.be";"Pop";"City / Town";"https://www.facebook.com/pages/Wild-In-t-Park/80671376623?ref=mf";"https://twitter.com/#!/WildIntPark";"Pieter Taccoen";"pieter.taccoen@herent.be";"https://twitter.com/#!/WildIntPark";;;"http://www.youtube.com/user/WildIntPark";"0472 700 810"
